created_at,entry_id,field1
2022-01-03 03:01:44 UTC,76,0
2022-01-03 03:02:00 UTC,77,0
2022-01-03 03:02:16 UTC,78,0
2022-01-03 03:02:32 UTC,79,0
2022-01-03 03:02:48 UTC,80,0
2022-01-03 03:03:04 UTC,81,0
2022-01-03 03:03:20 UTC,82,0
2022-01-03 03:03:36 UTC,83,0
2022-01-03 03:03:52 UTC,84,0
2022-01-03 03:04:08 UTC,85,0
2022-01-03 03:04:23 UTC,86,0
2022-01-03 03:04:39 UTC,87,0
2022-01-03 03:04:55 UTC,88,0
2022-01-03 03:05:10 UTC,89,0
2022-01-03 03:05:26 UTC,90,0
2022-01-03 03:05:42 UTC,91,0
2022-01-03 03:05:58 UTC,92,0
2022-01-03 03:06:13 UTC,93,0
2022-01-03 03:06:29 UTC,94,0
2022-01-03 03:06:45 UTC,95,0
2022-01-03 03:07:01 UTC,96,0
2022-01-03 03:07:16 UTC,97,0
2022-01-03 03:07:32 UTC,98,0
2022-01-03 03:07:48 UTC,99,0
2022-01-03 03:08:04 UTC,100,0
2022-01-03 03:08:20 UTC,101,0
2022-01-03 03:08:35 UTC,102,0
2022-01-03 03:08:51 UTC,103,0
2022-01-03 03:09:07 UTC,104,0
2022-01-03 03:09:23 UTC,105,0
2022-01-03 03:09:39 UTC,106,0
2022-01-03 03:09:55 UTC,107,0
2022-01-03 03:10:11 UTC,108,0
2022-01-03 03:10:27 UTC,109,0
2022-01-03 03:10:43 UTC,110,0
2022-01-03 03:10:59 UTC,111,0
2022-01-03 03:11:15 UTC,112,0
2022-01-03 03:11:31 UTC,113,0
2022-01-03 03:11:47 UTC,114,0
2022-01-03 03:12:03 UTC,115,0
2022-01-03 03:12:19 UTC,116,0
2022-01-03 03:12:35 UTC,117,0
2022-01-03 03:12:50 UTC,118,0
2022-01-03 03:13:05 UTC,119,0
2022-01-03 03:13:21 UTC,120,0
2022-01-03 03:13:37 UTC,121,0
2022-01-03 03:13:53 UTC,122,0
2022-01-03 03:14:09 UTC,123,0
2022-01-03 03:14:25 UTC,124,0
2022-01-03 03:14:40 UTC,125,0
2022-01-03 03:14:56 UTC,126,0
2022-01-03 03:15:11 UTC,127,0
2022-01-03 03:15:27 UTC,128,0
2022-01-03 03:15:43 UTC,129,0
2022-01-03 03:15:59 UTC,130,0
2022-01-03 03:16:14 UTC,131,0
2022-01-03 03:16:30 UTC,132,0
2022-01-03 03:16:45 UTC,133,0
2022-01-03 03:17:01 UTC,134,0
2022-01-03 03:17:17 UTC,135,0
2022-01-03 03:17:32 UTC,136,0
2022-01-03 03:17:48 UTC,137,0
2022-01-03 03:18:04 UTC,138,0
2022-01-03 03:18:20 UTC,139,0
2022-01-03 03:18:36 UTC,140,0
2022-01-03 03:18:52 UTC,141,1
2022-01-03 03:19:08 UTC,142,1
2022-01-03 03:19:24 UTC,143,0
2022-01-03 03:19:40 UTC,144,1
2022-01-03 03:19:56 UTC,145,0
2022-01-03 03:20:12 UTC,146,0
2022-01-03 03:20:27 UTC,147,0
2022-01-03 03:20:42 UTC,148,0
2022-01-03 03:20:59 UTC,149,0
2022-01-03 03:21:14 UTC,150,0
2022-01-03 03:21:29 UTC,151,0
2022-01-03 03:21:45 UTC,152,0
2022-01-03 03:22:00 UTC,153,0
2022-01-03 03:22:15 UTC,154,0
2022-01-03 03:22:30 UTC,155,0
2022-01-03 03:22:47 UTC,156,0
2022-01-03 03:23:06 UTC,157,0
2022-01-03 03:23:22 UTC,158,0
2022-01-03 03:23:38 UTC,159,0
2022-01-03 03:23:53 UTC,160,0
2022-01-03 03:24:08 UTC,161,0
2022-01-03 03:24:24 UTC,162,0
2022-01-03 03:24:39 UTC,163,0
2022-01-03 03:24:55 UTC,164,0
2022-01-03 03:25:11 UTC,165,0
2022-01-03 03:25:26 UTC,166,1
2022-01-03 03:25:42 UTC,167,0
2022-01-03 03:25:58 UTC,168,0
2022-01-03 03:26:14 UTC,169,0
2022-01-03 03:26:30 UTC,170,0
2022-01-03 03:26:46 UTC,171,0
2022-01-03 03:27:02 UTC,172,0
2022-01-03 03:27:18 UTC,173,0
2022-01-03 03:27:33 UTC,174,0
2022-01-03 03:27:49 UTC,175,0
